,UNDER_CONSTRUCTION,RERA,BHK_NO,SQUARE_FT,READY_TO_MOVE,RESALE,LONGITUDE,LATITUDE,area,TARGET(PRICE_IN_LACS),PRICE_IN_LACS,POSTED_BY Dealer,POSTED_BY Owner,BHK_OR_RK,city_tier tier2,city_tier tier3,ADDRESS
38,1,0,2,1000.0,0,1,17.815234,83.35818,6.907755278982137,35.0,3.5553480614894135,1.0,0.0,0,1.0,0.0,249
39,0,0,3,1300.052002,1,1,12.894088,77.548914,7.170159544188049,75.0,4.31748811353631,0.0,1.0,0,0.0,0.0,21
40,1,1,1,40606.19568,0,0,24.69028,78.41889,10.611675936902841,9110.0,9.117127990254003,1.0,0.0,0,0.0,1.0,142
41,0,1,2,1058.114928,1,1,18.539812,73.737678,6.964244234117938,65.0,4.174387269895637,1.0,0.0,0,0.0,0.0,192
42,1,0,1,400.0,0,1,18.5438,73.9438,5.991464547107982,30.0,3.4011973816621555,1.0,0.0,0,0.0,0.0,192
43,0,1,3,1274.924779,1,1,22.803593,83.755013,7.150642458989398,250.0,5.521460917862246,1.0,0.0,0,0.0,0.0,158
44,0,0,2,1026.694045,1,1,19.014858,72.8662,6.934099254151739,220.0,5.393627546352362,1.0,0.0,0,0.0,1.0,142
45,0,0,2,1150.121065,1,1,20.366670000000003,72.9,7.04762248972943,38.0,3.6375861597263857,0.0,1.0,0,0.0,1.0,244
46,0,0,3,1200.0,1,1,28.460928000000003,77.03939100000001,7.090076835776092,60.0,4.0943445622221,0.0,1.0,0,1.0,0.0,78
47,0,0,1,475.0103263,1,1,24.69028,78.41889,6.163336543377287,46.0,3.828641396489095,1.0,0.0,1,0.0,1.0,142
48,1,1,1,301.91711630000003,0,0,24.69028,78.41889,5.71015253036901,26.3,3.269568939183719,0.0,0.0,0,0.0,1.0,142
49,1,1,2,1228.571429,0,1,12.843852,74.845271,7.113607333535123,51.6,3.9435216724875173,1.0,0.0,0,1.0,0.0,150
50,0,0,2,986.0164934,1,1,13.077175,80.151453,6.893673082048938,55.0,4.007333185232471,0.0,1.0,0,0.0,0.0,49
51,1,1,3,1972.565158,0,1,28.431862,77.351104,7.5870900853810355,71.9,4.275276264727001,1.0,0.0,0,1.0,0.0,72
52,1,1,1,420.6166888,0,1,19.048403,72.88731,6.041721941035872,130.0,4.867534450455582,1.0,0.0,0,0.0,1.0,142
53,0,0,3,1275.009808,1,1,25.232239,71.392013,7.150709150111958,32.5,3.481240089335692,0.0,1.0,0,1.0,0.0,223
54,1,1,1,406.024219,0,0,19.245347,73.124577,6.00641281053194,39.9,3.686376323895818,1.0,0.0,0,0.0,0.0,148
55,0,0,3,1862.562189,1,1,28.431862,77.351104,7.529708339763393,59.9,4.092676505121403,1.0,0.0,0,1.0,0.0,72
56,0,0,2,950.0146156,1,1,19.88879,75.34344,6.8564773693183465,65.0,4.174387269895637,0.0,1.0,0,1.0,0.0,17
57,0,1,4,5200.945626,1,1,28.567633,77.383124,8.556595739190447,110.0,4.700480365792417,0.0,1.0,0,1.0,0.0,172
58,0,0,2,1049.969344,1,1,12.985039,77.54383,6.956516246534876,68.5,4.22683374526818,1.0,0.0,0,0.0,0.0,21
59,0,0,3,1615.008157,1,1,22.589694,88.372957,7.3870952864179955,99.0,4.59511985013459,1.0,0.0,0,0.0,0.0,134
60,0,0,3,1150.0069,1,1,19.014858,72.8662,7.047523221339296,250.0,5.521460917862246,1.0,0.0,0,0.0,1.0,142
61,0,0,2,1100.0,1,1,26.955346,75.73479300000001,7.003065458786462,27.5,3.3141860046725258,0.0,1.0,0,1.0,0.0,105
62,1,1,2,906.2661833,0,0,24.69028,78.41889,6.809333063443925,70.0,4.248495242049359,1.0,0.0,0,0.0,1.0,142
63,0,0,3,1454.333915,1,1,10.77,76.38,7.28230328440958,50.0,3.912023005428146,0.0,1.0,0,0.0,1.0,176
64,0,0,3,1591.994542,1,1,28.506454,77.40956800000001,7.372742938006492,70.0,4.248495242049359,0.0,1.0,0,1.0,0.0,172
65,0,1,2,573.8769151,1,1,28.406388,77.342588,6.3524149397016965,22.1,3.095577608523707,1.0,0.0,0,1.0,0.0,72
66,0,1,3,1038.883942,1,1,19.12,72.91,6.945902283223946,280.0,5.634789603169249,1.0,0.0,0,0.0,0.0,158
67,0,0,3,1538.141758,1,1,13.11389,77.59833,7.338330316169269,74.0,4.30406509320417,0.0,1.0,0,0.0,0.0,21
68,0,0,2,5000.0,1,1,26.850391,75.814198,8.517193191416238,85.0,4.442651256490317,0.0,1.0,0,1.0,0.0,105
69,0,0,3,1602.084012,1,1,28.368269,77.37273,7.379060568200839,49.2,3.8958936234982624,1.0,0.0,0,1.0,0.0,72
70,0,0,2,1200.0,1,1,16.51667,80.61667,7.090076835776092,45.0,3.8066624897703196,0.0,1.0,0,1.0,0.0,248
71,0,0,2,760.0709400000001,1,1,15.86667,74.5,6.633411771029537,60.0,4.0943445622221,0.0,1.0,0,1.0,0.0,28
72,1,0,2,739.8273736000001,0,1,23.25,77.41667,6.606416880065537,30.0,3.4011973816621555,0.0,1.0,0,1.0,0.0,41
73,0,0,2,1260.02291,1,1,13.0915,74.7844,7.138885182319906,33.0,3.4965075614664802,0.0,1.0,0,1.0,0.0,150
74,0,0,2,1100.151745,1,1,21.093676,79.111965,7.003203399272236,29.0,3.367295829986474,0.0,1.0,0,1.0,0.0,165
75,0,1,3,2293.077091,1,1,18.5438,73.9438,7.737649902441038,210.0,5.3471075307174685,1.0,0.0,0,0.0,0.0,192
76,0,0,2,1146.480331,1,1,19.216097,72.821721,7.0444519464595645,88.6,4.484131857611035,1.0,0.0,0,0.0,1.0,142
77,0,1,4,2224.059764,1,1,19.1615,72.8731,7.707089527311577,780.0,6.659293919683638,1.0,0.0,0,0.0,1.0,142
78,0,0,2,759.8784195000001,1,1,22.452032,88.298947,6.633158446141012,30.0,3.4011973816621555,1.0,0.0,0,0.0,0.0,134
79,0,0,4,2260.251857,1,1,12.9506,77.5952,7.723231527207671,140.0,4.941642422609304,0.0,1.0,0,0.0,0.0,21
80,0,0,3,767.0182167,1,1,20.742166,80.104602,6.642510551671917,240.0,5.480638923341991,1.0,0.0,0,0.0,0.0,148
81,0,0,4,2500.0,1,1,28.66667,77.41667,7.824046010856292,160.0,5.075173815233827,0.0,1.0,0,1.0,0.0,78
82,1,1,4,2286.236854,0,1,21.0,77.0,7.734662449661207,100.0,4.605170185988092,1.0,0.0,0,1.0,0.0,144
83,0,1,2,1150.086256,1,1,28.577673,77.389781,7.047592223761937,60.0,4.0943445622221,0.0,1.0,0,1.0,0.0,172
84,0,1,2,1004.932182,1,1,18.966114,73.148278,6.912675337619243,81.5,4.400603020246817,1.0,0.0,0,0.0,0.0,158
85,0,0,2,800.0,1,1,22.56972,88.36972,6.684611727667927,34.0,3.5263605246161616,0.0,1.0,0,0.0,0.0,134
86,1,0,3,993.75,0,1,26.706157,88.439748,6.901485665968542,31.8,3.459466289786131,1.0,0.0,0,1.0,0.0,223
87,0,0,2,1298.139334,1,1,23.169982,77.477889,7.168687236649336,30.0,3.4011973816621555,1.0,0.0,0,1.0,0.0,41
88,0,1,2,996.797438,1,1,26.900926,75.775927,6.904547577805166,24.9,3.214867803470662,1.0,0.0,0,1.0,0.0,78
89,0,0,2,985.0194952,1,1,12.98556,77.66389000000001,6.892661433057446,48.0,3.871201010907891,0.0,1.0,0,0.0,0.0,21
90,0,0,3,1118.75,1,1,12.91716,80.19287,7.019967269589065,53.7,3.983413001514819,1.0,0.0,0,0.0,0.0,49
91,0,1,2,889.8305085000001,1,1,28.506454,77.40956800000001,6.7910310047025675,42.0,3.7376696182833684,1.0,0.0,0,1.0,0.0,172
92,0,0,3,2738.22563,1,1,12.863421,77.652405,7.91506540931946,150.0,5.0106352940962555,0.0,1.0,0,0.0,0.0,21
93,1,1,4,1725.4901960000002,0,0,19.049513,72.91920400000001,7.453266460690563,440.0,6.0867747269123065,1.0,0.0,0,0.0,0.0,148
94,1,1,3,2488.004265,0,1,30.654128000000004,76.732427,7.819236168085896,140.0,4.941642422609304,1.0,0.0,0,0.0,1.0,155
95,0,0,3,1200.082764,1,1,23.207157,88.404471,7.09014580339777,58.0,4.060443010546419,1.0,0.0,0,0.0,0.0,134
96,0,0,2,1584.283904,1,1,26.459137,79.506922,7.367887788637409,100.0,4.605170185988092,1.0,0.0,0,1.0,0.0,125
97,0,0,2,900.0,1,1,23.2257,72.51679,6.802394763324311,18.0,2.8903717578961645,0.0,1.0,0,0.0,1.0,76
98,0,1,2,1193.440032,1,1,18.441256,74.647361,7.084595199020098,60.4,4.100989104940769,1.0,0.0,0,0.0,0.0,192
99,0,0,2,1487.357462,1,1,26.8626,75.7633,7.304756308962839,30.0,3.4011973816621555,0.0,1.0,0,1.0,0.0,105
100,1,1,2,989.9029895,0,1,28.5035,77.426447,6.897606947923222,50.0,3.912023005428146,0.0,1.0,0,1.0,0.0,172
101,0,0,2,1155.020213,1,1,19.147866,72.932609,7.051873123235664,140.0,4.941642422609304,1.0,0.0,0,0.0,0.0,148
102,0,0,2,949.893137,1,1,11.93,79.83,6.856349490898987,80.0,4.382026634673881,0.0,1.0,0,1.0,0.0,189
103,0,0,2,875.0,1,1,28.560719,77.386208,6.774223886357614,49.0,3.8918202981106265,0.0,1.0,0,1.0,0.0,172
104,0,0,2,853.3611982000001,1,1,12.96991,77.59796,6.749182902412989,24.5,3.1986731175506815,1.0,0.0,0,0.0,0.0,21
105,0,0,1,483.0917874,1,1,18.4543,73.1147,6.18020667162286,18.0,2.8903717578961645,0.0,1.0,0,0.0,1.0,195
106,0,0,2,800.0,1,1,19.18,72.96333,6.684611727667927,95.0,4.553876891600541,1.0,0.0,0,0.0,0.0,148
107,0,0,2,802.0415602999999,1,1,28.66667,77.41667,6.687160427346805,22.0,3.091042453358316,0.0,1.0,0,1.0,0.0,78
108,0,1,2,610.0660905,1,1,13.069866,80.19842299999999,6.413567296380419,48.0,3.871201010907891,1.0,0.0,0,0.0,0.0,49
109,0,0,3,1680.107527,1,1,28.861993,78.756315,7.426613074515792,75.0,4.31748811353631,0.0,1.0,0,1.0,0.0,125
110,0,0,2,1150.136038,1,1,19.980678,79.297436,7.047635508274166,93.0,4.532599493153256,0.0,1.0,0,1.0,0.0,105
111,0,0,3,1550.114497,1,1,28.576117,77.382136,7.346084076217368,88.0,4.477336814478207,0.0,1.0,0,1.0,0.0,172
112,0,0,5,1699.834163,1,1,28.6711,77.3683,7.438285974109411,82.0,4.406719247264253,0.0,1.0,0,1.0,0.0,78
113,1,0,3,1600.170685,0,1,9.952439,76.36329649999999,7.377865580663166,75.0,4.31748811353631,0.0,1.0,0,1.0,0.0,132
114,0,0,1,600.0566091,1,1,18.75,73.08,6.397023999265606,21.2,3.054001181677967,0.0,1.0,0,0.0,1.0,195
115,0,1,2,1429.200617,1,1,30.661104,76.746082,7.264870557859209,64.9,4.1728476237100445,1.0,0.0,0,0.0,1.0,155
116,0,0,2,1115.1379980000002,1,1,13.008071,77.65129499999999,7.016733441258382,80.0,4.382026634673881,0.0,1.0,0,0.0,0.0,21
117,0,0,4,2750.929368,1,1,27.216013,77.950834,7.919694085567703,74.0,4.30406509320417,1.0,0.0,0,1.0,0.0,1
118,0,0,3,1811.196487,1,1,23.35556,85.33471999999999,7.501742948408927,99.0,4.59511985013459,0.0,1.0,0,1.0,0.0,202
119,0,0,2,1045.036079,1,1,22.43917,88.39583,6.951806689161777,42.0,3.7376696182833684,0.0,1.0,0,0.0,0.0,134
120,0,0,3,3433.996566,1,1,28.403138,77.070052,8.141480041456921,340.0,5.8289456176102075,1.0,0.0,0,1.0,0.0,85
121,0,0,3,1298.219585,1,1,12.840956,77.659441,7.168749054758873,70.0,4.248495242049359,0.0,1.0,0,0.0,0.0,21
122,1,1,2,1109.165207,0,1,13.278237,74.747328,7.011362945597286,38.0,3.6375861597263857,0.0,1.0,0,0.0,1.0,240
123,1,1,4,1304.034182,0,0,18.96,72.82,7.1732179553332225,470.0,6.152732694704104,1.0,0.0,0,0.0,0.0,148
124,0,1,2,1041.195111,1,1,28.59632,77.38143000000001,6.948124477565782,46.0,3.828641396489095,1.0,0.0,0,1.0,0.0,172
125,0,0,3,2135.748916,1,1,28.394375,77.35722700000001,7.666572644481558,83.7,4.4272389774954295,1.0,0.0,0,1.0,0.0,72
126,0,1,3,1850.180505,1,1,28.579004,77.431173,7.523038483582972,82.0,4.406719247264253,0.0,1.0,0,1.0,0.0,172
127,0,0,3,1665.080875,1,1,23.166495,72.63429000000001,7.41762897480846,70.0,4.248495242049359,1.0,0.0,0,0.0,1.0,76
128,0,1,2,398.2621289,1,1,26.707154,80.98234599999999,5.987110403819179,11.0,2.3978952727983707,0.0,1.0,0,1.0,0.0,144
129,0,0,2,1005.025126,1,1,12.80009,77.71181999999999,6.912767821175681,48.0,3.871201010907891,0.0,1.0,0,0.0,0.0,21
130,0,1,4,4900.959771,1,1,18.5438,73.9438,8.497186336551028,240.0,5.480638923341991,1.0,0.0,0,0.0,0.0,192
131,0,1,2,1294.016156,1,1,19.128324,72.825408,7.165505960299752,330.0,5.799092654460526,1.0,0.0,0,0.0,0.0,158
132,0,1,3,1536.806516,1,1,28.6423,77.3445,7.3374618514245356,100.0,4.605170185988092,1.0,0.0,0,1.0,0.0,78
133,0,0,2,1123.188406,1,1,12.9816,77.6729,7.023926710924824,62.0,4.127134385045092,0.0,1.0,0,0.0,0.0,21
134,0,0,2,800.1939864,1,1,26.955346,75.73479300000001,6.684854181273677,16.5,2.803360380906535,1.0,0.0,0,1.0,0.0,105
135,0,1,4,2655.807365,1,1,19.239813,72.962722,7.8845039797280725,300.0,5.703782474656201,1.0,0.0,0,0.0,0.0,148
136,0,0,3,1513.775356,1,1,12.905368,77.580403,7.322362045181185,100.0,4.605170185988092,1.0,0.0,0,0.0,0.0,21
137,0,0,3,1280.0,1,1,9.930471,76.271273,7.154615356913663,48.0,3.871201010907891,0.0,1.0,0,1.0,0.0,132
138,0,0,1,410.0678733,1,1,28.568846,77.324966,6.016322690631499,14.5,2.6741486494265287,0.0,1.0,0,1.0,0.0,144
139,0,0,4,3429.355281,1,1,22.312063,72.674296,8.140127557769372,100.0,4.605170185988092,1.0,0.0,0,1.0,0.0,242
140,0,0,2,890.0451868999999,1,1,28.582887,77.339935,6.791272233235094,65.0,4.174387269895637,1.0,0.0,0,0.0,0.0,158
141,0,0,2,977.7082519,1,1,22.1764,75.8193,6.8852113145905625,25.0,3.2188758248682006,0.0,1.0,0,1.0,0.0,102
142,0,0,2,1099.855282,1,1,12.977126,77.577724,7.002933888313265,38.0,3.6375861597263857,1.0,0.0,0,0.0,0.0,21
143,1,0,2,1050.241272,0,1,26.29564,73.03943000000001,6.956775199612674,37.0,3.6109179126442243,0.0,1.0,0,1.0,0.0,117
144,0,1,3,1400.241838,1,1,26.900926,75.775927,7.244400242113839,57.9,4.05871738457895,1.0,0.0,0,1.0,0.0,78
145,0,0,3,1740.139211,1,1,19.048979,73.078232,7.461720395330079,180.0,5.19295685089021,1.0,0.0,0,0.0,0.0,158
146,0,1,2,1149.131767,1,1,24.69028,78.41889,7.0467619509950365,180.0,5.19295685089021,1.0,0.0,0,0.0,1.0,142
147,0,0,2,650.1950585,1,1,11.026678,76.903583,6.477272407871685,20.0,2.995732273553991,1.0,0.0,0,1.0,0.0,52
148,0,0,2,1355.01355,1,1,26.878068,75.77985600000001,7.211566733263801,85.0,4.442651256490317,0.0,1.0,0,1.0,0.0,105
149,0,0,3,1800.0720030000002,1,1,12.96991,77.59796,7.495581944750877,150.0,5.0106352940962555,1.0,0.0,0,0.0,0.0,21
150,0,1,2,907.6305221,1,1,21.56128,74.21238000000001,6.810837381802547,33.9,3.5234150143864045,1.0,0.0,0,0.0,0.0,148
151,0,0,3,1636.296021,1,1,13.141581,77.749756,7.400190442726216,88.0,4.477336814478207,1.0,0.0,0,0.0,0.0,21
152,0,0,2,900.2520706,1,1,22.261354,73.215533,6.80267480255411,25.0,3.2188758248682006,0.0,1.0,0,1.0,0.0,242
153,0,0,2,1318.0440230000002,1,1,12.905538,77.694263,7.183904115870345,100.0,4.605170185988092,0.0,1.0,0,0.0,0.0,21
154,0,1,3,1949.586451,1,1,30.684523,76.691728,7.575372552656154,99.0,4.59511985013459,1.0,0.0,0,0.0,1.0,155
155,0,0,3,1643.36522,1,1,9.930471,76.271273,7.404501381831493,67.0,4.204692619390966,1.0,0.0,0,1.0,0.0,132
156,0,0,3,1233.045623,1,1,18.96,72.82,7.117242504101861,210.0,5.3471075307174685,1.0,0.0,0,0.0,0.0,148
157,0,0,1,655.0802139,1,1,18.964489,73.019574,6.4847576921066175,49.0,3.8918202981106265,1.0,0.0,0,0.0,0.0,148
158,0,0,2,1180.173092,1,1,12.96991,77.59796,7.073416394837651,75.0,4.31748811353631,0.0,1.0,0,0.0,0.0,21
159,0,0,3,1200.087279,1,1,28.6711,77.3683,7.0901495656312115,55.0,4.007333185232471,0.0,1.0,0,1.0,0.0,78
160,0,0,4,6974.645114,1,1,22.53028,88.33417,8.850036725681889,1700.0,7.438383530044307,1.0,0.0,0,0.0,0.0,134
161,1,1,4,2700.075602,0,1,28.535689,77.35967099999999,7.901035052341148,250.0,5.521460917862246,0.0,1.0,0,1.0,0.0,172
162,0,0,2,850.0991782,1,1,26.928785,75.828002,6.745353022913047,30.0,3.4011973816621555,0.0,1.0,0,1.0,0.0,105
163,1,1,4,2636.296531,0,1,12.8855,77.5638,7.8771303820876675,250.0,5.521460917862246,1.0,0.0,0,0.0,0.0,21
164,0,0,2,900.0163639,1,1,12.928575,77.58572099999999,6.802412945270129,55.0,4.007333185232471,0.0,1.0,0,0.0,0.0,21
165,1,0,4,2472.952087,0,1,18.475864,73.89000899999999,7.813167892889735,160.0,5.075173815233827,1.0,0.0,0,0.0,0.0,192
166,0,0,2,904.0656205,1,1,20.098413,79.10786,6.806901946806391,50.7,3.9259259105971376,1.0,0.0,0,0.0,0.0,21
167,1,1,1,265.0033933,0,1,19.1145,72.8712,5.579742630809901,82.0,4.406719247264253,1.0,0.0,0,0.0,1.0,142
168,1,1,3,1570.306924,0,1,26.16667,75.78333,7.359026372229719,110.0,4.700480365792417,1.0,0.0,0,1.0,0.0,105
169,0,0,2,955.4140127,1,1,19.255098,72.9815265,6.862144767689418,150.0,5.0106352940962555,1.0,0.0,0,0.0,1.0,142
170,0,0,2,1000.0,1,1,28.593566,77.362752,6.907755278982137,60.0,4.0943445622221,1.0,0.0,0,1.0,0.0,172
171,0,0,4,2494.747899,1,1,12.995285,77.766797,7.821942960595513,95.0,4.553876891600541,1.0,0.0,0,0.0,0.0,21
172,0,0,2,1150.130348,1,1,13.1101,80.2095,7.047630561021069,75.0,4.31748811353631,0.0,1.0,0,0.0,0.0,49
173,0,0,2,1210.136674,1,1,19.0168,73.09646,7.098488585931004,85.0,4.442651256490317,1.0,0.0,0,0.0,0.0,158
174,0,0,2,1365.001365,1,1,19.126499,72.99956,7.21891070761856,200.0,5.298317366548036,1.0,0.0,0,0.0,0.0,158
175,1,1,2,499.6366279,0,0,19.255098,72.9815265,6.213881090015611,110.0,4.700480365792417,1.0,0.0,0,0.0,0.0,148
176,0,0,2,1050.144395,1,1,22.271214,73.188827,6.956682952744311,40.0,3.6888794541139363,1.0,0.0,0,1.0,0.0,242
177,0,0,1,476.0204688999999,1,1,13.020957,80.152774,6.1654608551976215,40.0,3.6888794541139363,0.0,1.0,0,0.0,0.0,49
178,0,0,2,985.452839,1,1,28.538774,77.366515,6.893101270551701,21.0,3.044522437723423,1.0,0.0,0,1.0,0.0,172
179,0,0,2,1045.296167,1,1,28.368269,77.37273,6.9520555376420505,24.0,3.1780538303479458,1.0,0.0,0,1.0,0.0,72
180,1,1,2,1301.89498,0,1,12.86,77.786,7.171576158993006,90.0,4.499809670330265,1.0,0.0,0,0.0,0.0,21
181,0,0,2,2000.0,1,1,28.2102,76.8606,7.600902459542082,38.0,3.6375861597263857,0.0,1.0,0,0.0,1.0,39
182,1,1,4,4465.709729,0,1,28.526624,77.37671800000001,8.404183434542155,280.0,5.634789603169249,1.0,0.0,0,1.0,0.0,172
183,0,0,2,1192.0,1,1,20.286571,85.810906,7.083387847625295,59.6,4.087655574071304,1.0,0.0,0,1.0,0.0,42
184,1,0,3,1846.153846,0,0,22.5922,88.484911,7.5208597517852125,120.0,4.787491742782046,1.0,0.0,0,0.0,0.0,134
185,1,0,1,448.5310608,0,1,19.221571,73.042474,6.105977933950343,120.0,4.787491742782046,1.0,0.0,0,0.0,0.0,158
186,0,0,2,750.0604887000001,1,1,28.66667,77.41667,6.620153854878191,31.0,3.4339872044851463,0.0,1.0,0,1.0,0.0,78
187,0,0,2,1060.0706710000002,1,1,19.040066,73.115347,6.966090855638434,72.0,4.276666119016055,1.0,0.0,0,0.0,0.0,148
188,0,1,3,1415.09434,1,1,12.8458,77.6727,7.254951479232992,79.5,4.375757021660286,1.0,0.0,0,0.0,0.0,21
189,0,0,2,1160.062565,1,1,18.96,72.82,7.056229217990779,89.0,4.48863636973214,1.0,0.0,0,0.0,0.0,148
190,0,0,3,1690.024732,1,1,19.1615,72.8731,7.432498442129565,410.0,6.016157159698354,1.0,0.0,0,0.0,1.0,142
191,1,0,3,1672.762741,0,1,28.495803,77.42684799999999,7.422231874432604,68.6,4.22829253473184,0.0,1.0,0,1.0,0.0,172
192,0,0,2,1315.265046,1,1,20.606469,72.913465,7.181793480195741,33.0,3.4965075614664802,0.0,1.0,0,0.0,1.0,243
193,0,0,1,650.026001,1,1,19.245347,73.124577,6.477012363628104,50.0,3.912023005428146,1.0,0.0,0,0.0,0.0,158
194,0,0,1,540.1755571,1,1,19.585537,72.83686800000001,6.291894192463641,16.0,2.772588722239781,0.0,1.0,0,0.0,1.0,179
195,0,0,3,1830.065359,1,1,20.098413,79.10786,7.512106960498237,98.0,4.584967478670572,1.0,0.0,0,0.0,0.0,21
196,0,0,3,1575.157516,1,1,28.66667,77.41667,7.362110556417781,70.0,4.248495242049359,1.0,0.0,0,1.0,0.0,78
197,0,0,3,1530.0,1,1,12.904179,77.665897,7.333023014386481,76.5,4.33729074083249,1.0,0.0,0,0.0,0.0,21
198,0,0,2,619.6377502,1,1,12.758604,77.700377,6.429135033413677,26.0,3.258096538021482,0.0,1.0,0,0.0,0.0,21
